Smell Name,Pipeline Stage,Effect,HARP-ML Category,Reasoning,Fix Strategy,Example Before,Example After,Implemented
Unnecessary Iteration,Data Cleaning,Efficiency,Out-of-Scope,Requires understanding full data semantics to safely vectorize,Replace loops with vectorized Pandas/NumPy operations,for row in df.iterrows(): result.append(row[0]+1),result = df.add(1),No
NaN Equivalence Comparison Misused,Data Cleaning,Error-prone,Type I,Single-expression fix locally verifiable without broader context,Replace nan == nan with pd.isna(),if x == np.nan:,if pd.isna(x):,No
Chain Indexing,Data Cleaning,Error-prone & Efficiency,Type I,Direct API substitution within a single statement,"Replace df[col1][col2] with df.loc[:,col]","df[""A""][""B""]","df.loc[:, (""A"",""B"")]",Yes
Columns and DataType Not Explicitly Set,Data Cleaning,Readability,Out-of-Scope,Requires downstream schema knowledge to determine correct columns and types,Explicitly set columns and dtypes on import,pd.read_csv(file),"pd.read_csv(file, usecols=['a'], dtype={'a':int})",No
Empty Column Misinitialization,Data Cleaning,Robustness,Type I,Single-line fix locally verifiable,Replace zeros or empty strings with np.nan,df['col'] = 0,df['col'] = np.nan,No
Merge API Parameter Not Explicitly Set,Data Cleaning,Readability & Error-prone,Type II,Requires understanding DataFrame schemas and join semantics from context,Add explicit on/how/validate inferred from context,df1.merge(df2),"df1.merge(df2, on='id', how='inner', validate='one_to_many')",Yes
In-Place APIs Misused,Data Cleaning,Error-prone,Type II,Whether return value is intentionally discarded requires broader usage context,Assign return value back or confirm inplace=True is intentional,df.dropna(),df = df.dropna(),No
Dataframe Conversion API Misused,Data Cleaning,Error-prone,Type I,Direct API substitution context-free and locally verifiable,Replace df.values with df.to_numpy(),arr = df.values,arr = df.to_numpy(),Yes
Matrix Multiplication API Misused,Data Cleaning,Readability,Type I,Direct API substitution context-free and locally verifiable,Replace np.dot() with np.matmul() for 2D matrices,"np.dot(A, B)","np.matmul(A, B)",No
No Scaling before Scaling-Sensitive Operation,Feature Engineering,Error-prone,Out-of-Scope,Requires pipeline-level understanding of feature flow,Add feature scaling before PCA/SVM/SGD,pca.fit(X),pca.fit(scaler.fit_transform(X)),No
Hyperparameter Not Explicitly Set,Model Training,Error-prone & Reproducibility,Out-of-Scope,Requires model architecture and task knowledge to suggest correct values,Explicitly set all hyperparameters,RandomForestClassifier(),"RandomForestClassifier(n_estimators=100, random_state=42)",No
Memory Not Freed,Model Training,Memory Issue,Type II,Requires identifying training loop scope and correct memory freeing API,Use clear_session() or .detach() at correct positions,"loss = criterion(out, y)","loss = criterion(out, y).detach()",No
Deterministic Algorithm Option Not Used,Model Training,Reproducibility,Type II,Requires distinguishing development vs deployment context,Set torch.use_deterministic_algorithms(True) during development,model.train(),torch.use_deterministic_algorithms(True); model.train(),No
Randomness Uncontrolled,Model Training & Evaluation,Reproducibility,Type II,Requires identifying all random sources across file and correct seed scope,Set random seeds for all libraries at correct scope,RandomForestClassifier(),np.random.seed(42); RandomForestClassifier(random_state=42),No
Missing the Mask of Invalid Value,Model Training,Error-prone,Out-of-Scope,Requires understanding runtime numerical behaviour — not statically detectable,Wrap log arguments with clip to avoid invalid values,tf.log(x),"tf.log(tf.clip_by_value(x, 1e-10, 1.0))",No
Broadcasting Feature Not Used,Model Training,Efficiency,Out-of-Scope,Requires understanding tensor shapes across the full pipeline,Replace explicit tiling with broadcasting,a * b.tile(n),a * b,No
TensorArray Not Used,Model Training,Efficiency & Error-prone,Type II,Requires rewriting loop initialization and body — not a local fix,Replace tf.constant with tf.TensorArray for growing arrays,arr = tf.constant([]),"arr = tf.TensorArray(dtype=tf.float32, dynamic_size=True)",No
Training/Evaluation Mode Improper Toggling,Model Training,Error-prone,Type II,Requires understanding loop structure to find correct toggle positions,Call .eval() before inference and .train() before resuming,model.eval(); out = model(x),model.eval(); out = model(x); model.train(),No
PyTorch Call Method Misused,Model Training,Robustness,Type I,Direct API substitution context-free and locally verifiable,Replace self.net.forward() with self.net(),self.net.forward(x),self.net(x),No
Gradients Not Cleared before Backward Propagation,Model Training,Error-prone,Type II,Requires control flow analysis to find correct insertion point,Insert optimizer.zero_grad() before loss.backward(),loss.backward(); optimizer.step(),optimizer.zero_grad(); loss.backward(); optimizer.step(),Yes
Data Leakage,Model Evaluation,Error-prone,Out-of-Scope,Requires data-level reasoning — cannot be inspected at code level alone,Use Pipeline() API or carefully segregate training and validation data,scaler.fit(X_train); scaler.transform(X_val),"Pipeline([('scaler', StandardScaler()), ('clf', clf)])",No
Threshold-Dependent Validation,Model Evaluation,Robustness,Out-of-Scope,Requires domain knowledge about evaluation context and task objectives,Replace F-measure with threshold-independent metrics like AUC,"f1_score(y_true, y_pred)","roc_auc_score(y_true, y_scores)",No